data_reserva,responsavel,codigo,descricao,quantidade,unidade,cc,reserva,data_entrega,laudo,quantidade_recebida,pendencia,responsavel_recebimento
2026-04-09 00:00:00,Dyego Ferreira,5001970,ESCOVA DE AÇO ROTATIVA LIMPAR LÂMINAS DA SERRA FOGO,80,pç,50012129,34084589,2026-04-14 00:00:00,Aprovado,80,0,Dyego
2026-04-09 00:00:00,Dyego Ferreira,5011273,LIMPADOR PARA LIXADEIRAS,12,pç,50012127,34084590,,,,,
2026-04-09 00:00:00,Dyego Ferreira,2201714,"DISCO DESBASTE/ACAB 114,30/ 22,225 GR40 (LARANJADO) LIXADEIRA ELETRICA",80,pç,50013125,34084591,2026-04-14 00:00:00,Aprovado,80,0,Dyego
2026-04-22 00:00:00,Dyego Ferreira,5103580,PADRÃO REF QQI A SHIM TYPE 3C4-234 METAL,10,cj,50013125,34128556,,,,,
2026-04-22 00:00:00,Dyego Ferreira,5103576,PADRÃO REF QQI A SHIM TYPE 3C2-234 METAL,10,cj,50013125,34128556,,,,,
2026-04-22 00:00:00,Dyego Ferreira,2247059,MASSA DE SILICONE DE CONDENSAÇÃO,10,kg,50013125,34128556,,,,,
2026-04-22 00:00:00,Dyego Ferreira,2180855,TINTA SPRAY AMARELO,24,pç,50012127,34128563,2026-04-26 00:00:00,Aprovado,24,0,Dyego
2026-04-22 00:00:00,Dyego Ferreira,5011273,LIMPADOR PARA LIXADEIRAS,24,pç,50012127,34128563,2026-04-26 00:00:00,Aprovado,24,0,Dyego
2026-04-22 00:00:00,Dyego Ferreira,5001970,ESCOVA DE AÇO ROTATIVA LIMPAR LÂMINAS DA SERRA FOGO,80,pç,50012129,34128563,2026-04-26 00:00:00,Aprovado,24,56,Dyego
2026-04-22 00:00:00,Dyego Ferreira,2255309,PÓ MAGNÉTICO VIA SECA AMARELO,40,kg,50012127,34128563,2026-04-26 00:00:00,Aprovado,24,16,Dyego
2026-04-22 00:00:00,Dyego Ferreira,2178643,PARTÍCULA MAGNÉTICA VIA ÚMIDA FLUORESCENTE CLY2000,50,lt,50012127,34128563,2026-04-26 00:00:00,Aprovado,24,26,Dyego
2026-04-22 00:00:00,Dyego Ferreira,5004333,SOLVENTE ECOLÓGICO REF MP213/V 20L,2,pç,50013125,34128556,,,,,
2026-04-22 00:00:00,Dyego Ferreira,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",200,pç,50012127,34128563,2026-04-26 00:00:00,Parcial,130,70,Ferreira Dyego / Diego Fonseca
2026-04-22 00:00:00,Dyego Ferreira,5031007,"DISCO DESBASTE/ACAB 177,80/ 22,2 GR40 (LARANJADO)",60,pç,50012127,34128563,2026-04-26 00:00:00,Aprovado,24,36,Dyego
2026-04-22 00:00:00,Dyego Ferreira,2201714,"DISCO DESBASTE/ACAB 114,30/ 22,225 GR40 (LARANJADO) LIXADEIRA ELETRICA",60,pç,50012127,34152903,2026-04-30 00:00:00,Aprovado,60,0,Dyego
2026-04-22 00:00:00,Dyego Ferreira,2270093,TINTA MARCAÇÃO AZUL BQ1610 RAL5017,4,pç,50012127,34128563,2026-04-26 00:00:00,Aprovado,24,-20,Dyego
2026-04-22 00:00:00,Dyego Ferreira,2259436,TINTA MARCAÇÃO BRANCA BQ967 RAL9010,4,pç,50012127,34128563,2026-04-26 00:00:00,Aprovado,24,-20,Dyego
2026-04-22 00:00:00,Dyego Ferreira,2270092,TINTA MARCAÇÃO VERDE ESCURO BQ1607,4,pç,50012127,34128563,2026-04-26 00:00:00,Aprovado,24,-20,Dyego
2026-04-22 00:00:00,Dyego Ferreira,2259474,TINTA MARCAÇÃO VERMELHO  BQ987,4,pç,50012127,34128563,2026-04-26 00:00:00,Aprovado,24,-20,Dyego
2026-04-22 00:00:00,Dyego Ferreira,2182844,TINTA SPRAY BRANCO,24,pç,50012127,34128563,2026-04-26 00:00:00,Aprovado,24,0,Dyego
2026-04-27 00:00:00,Dyego Ferreira,1454463,(NÃO USAR ESTE) ADESIVO ANAERÓB ESTRUT 319-LOCTITE (NÃO USAR ESTE),10,pç,50013125,34152903,2026-04-30 00:00:00,Aprovado,10,0,Dyego
2026-05-04 00:00:00,Dyego Ferreira,2270093,TINTA MARCAÇÃO AZUL BQ1610 RAL5017,4,pç,50012127,34178282,2026-05-06 00:00:00,Aprovado,4,0,Dyego
2026-05-04 00:00:00,Dyego Ferreira,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",200,pç,50012127,34178282,2026-05-06 00:00:00,Parcial,4,196,Dyego
2026-05-04 00:00:00,Dyego Ferreira,1751913,PILHA ALCALINA AAA,24,pç,50012127,34178282,2026-05-06 00:00:00,Aprovado,4,20,Dyego
2026-05-04 00:00:00,Dyego Ferreira,1511467,PILHA ALCALINA AA,48,pç,50012127,34178282,2026-05-06 00:00:00,Aprovado,48,0,Dyego
2026-05-04 00:00:00,Dyego Ferreira,2201856,TINTA SPRAY VERMELHO,24,pç,50013125,34178284,2026-05-22 00:00:00,Aprovado,24,0,Diego Fonseca
2026-05-04 00:00:00,Dyego Ferreira,1454463,(NÃO USAR ESTE) ADESIVO ANAERÓB ESTRUT 319-LOCTITE (NÃO USAR ESTE),10,pç,50013125,34178284,2026-05-22 00:00:00,Aprovado,10,0,Diego Fonseca
2026-05-05 00:00:00,Dyego Ferreira,2263517,LANTERNA MANUAL RECARREGÁVEL LED ZQW-Z6,1,pç,50015127,34178519,2026-05-05 00:00:00,Aprovado,1,0,Dyego
2026-05-06 00:00:00,Dyego Ferreira,1608649,ADESIVO CIANOACRIL CURA RÁP 406 LOCTITE,20,pç,50013125,34183463,2026-05-12 00:00:00,Aprovado,20,0,Diana
2026-05-09 00:00:00,Dyego Ferreira,2236886,PISSETA POLIPROPILENO  500ML GRADUADA,10,pç,50012127,34195966,2026-06-23 00:00:00,Aprovado,10,0,Dyego
2026-05-11 00:00:00,Dyego Ferreira,5122154,MEDIDOR LUZ BRANCA/NEGRA M513 APOLLO,2,pç,50012127,34202662,,,,,
2026-05-13 00:00:00,Dyego Ferreira,1022725,TRENA AÇO  5M C/TRAVA AC34-5ME9,20,pç,50015127,34211072,2026-05-14 00:00:00,Aprovado,20,0,Dyego
2026-05-18 00:00:00,Dyego Ferreira,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",200,pç,50012127,34229426,2026-06-17 00:00:00,Parcial,57,143,Dyego
2026-05-19 00:00:00,Dyego Ferreira,5019310,FITA SINALIZAÇÃO 48MMX  33MTS ZEBRADA,3,un,50012127,34233935,2026-05-20 00:00:00,Aprovado,3,0,Dyego
2026-05-21 00:00:00,Dyego Ferreira,2180855,TINTA SPRAY AMARELO,24,pç,50013125,34241398,2026-05-22 00:00:00,Aprovado,24,0,Diego Fonseca
2026-05-21 00:00:00,Dyego Ferreira,5099467,FONE SEM FIO,1,un,50013125,34241900,,,,,
2026-05-22 00:00:00,Dyego Ferreira,2178643,PARTÍCULA MAGNÉTICA VIA ÚMIDA FLUORESCENTE CLY2000,100,lt,50012127,34244088,2026-05-22 00:00:00,Aprovado,100,0,Diego Fonseca
2026-05-22 00:00:00,Dyego Ferreira,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",200,pç,50012127,34244088,2026-05-22 00:00:00,Aprovado,100,100,Diego Fonseca
2026-05-22 00:00:00,Dyego Ferreira,2247060,CATALISADOR PARA MASSA DE SILICONE DE CONDENSAÇÃO (NOVO),10,un,50013125,34244090,2026-05-22 00:00:00,Aprovado,10,0,Diego Fonseca
2026-05-22 00:00:00,Dyego Ferreira,2247059,MASSA DE SILICONE DE CONDENSAÇÃO,10,kg,50013125,34244090,2026-05-22 00:00:00,Aprovado,10,0,Diego Fonseca
2026-05-22 00:00:00,Dyego Ferreira,2158968,BATERIA BOTÃO LR 44,10,un,50012127,34244088,,,,,
2026-05-25 00:00:00,Dyego Ferreira,1484427,"ABRAÇAD INSULOK NATURAL  7,9X381 GRANDE",200,pç,50013125,34255296,2026-05-25 00:00:00,Aprovado,200,0,Dyego
